Account Number,Email,Name,Company,Has Email
A001      ,,MULTICHOICE MUA HILLS,,NO
A002      ,,SANDALWOOD BROOKSIDE LTD,,NO
A003      ,,ELITE RESIDENCE VAAL,,NO
A004      ,,MULTICHOICE VIEWPOINT,,NO
A005      ,,MULTICHOICE MENENGAI CRATER,,NO
A006      ,,MULTICHOICE MURANGA,,NO
A007      ,,MULTICHOICE EMBU,,NO
A008      ,,MULTICHOICE KAPENGURIA,,NO
A009      ,,CWS SCOTT RESIDENCE,,NO
A010      ,,CWS NICOLE RESIDENCE,,NO
A011      ,rirungu@bmsecurity.com,HIGHCHEM LTD,,YES
A012      ,,ROMEO 10,,NO
A013      ,,ROMEO 16,,NO
A014      ,,ROMEO 12,,NO
A015      ,,ROMEO 8,,NO
A016      ,,ROMEO 4,,NO
A017      ,,ROMEO 24,,NO
A018      ,,ROMEO 34,,NO
A019      ,,ROMEO 6,,NO
A020      ,,ROMEO 2,,NO
A021      ,,ROMEO 28,,NO
A022      ,,ROMEO 14,,NO
A023      ,,ROMEO 32,,NO
A024      ,,ROMEO 18,,NO
A025      ,,ROMEO 20,,NO
A026      ,,ROMEO 30,,NO
A027      ,,MULTICHOICE LUKUME,,NO
A028      ,,MULTICHOICE HOMABAY,,NO
A029      ,,MULTICHOICE KERICHO,,NO
A030      ,,MULTICHOICE MIGORI,,NO
A031      ,,MULTICHOICE KIBOSWA,,NO
A032      ,,MULTICHOICE BOMET,,NO
A033      ,,MULTICHOICE BUSIA,,NO
A034      ,,ROMEO VEHICLES,,NO
A035      ,,AWALI ESTATE VIPINGO,,NO
A036      ,,1255 PALMRIDGE ESTATE VIPINGO,,NO
N281      ,,SARIT CENTRE,,NO
TST1      ,,TEST SOFTGUARD,,NO
TST2      ,,BM POLO VIGICONTROL,,NO
TST8      ,,NBST NGARA,,NO
TSTA      ,,MULTICHOICE MUTONYI HILLS,,NO
